groom_giver,groom_reciever,constrained_duration,observation_name
1B1,64D,72,2011-11-08_1B1_BA_4
1B1,K00,59,2011-11-08_1B1_BA_4
1B1,64D,339,2011-11-08_1B1_BA_4
28N,00O,63,2011-11-08_28N_BA_6
62H,60P,60,2011-11-08_62H_BA_3
62H,juvenile,202,2011-11-08_62H_BA_3
X44,20F,191,2011-11-08_X44_BA_4
2A8,juvenile,52,2011-12-06_2A8_JB_4
25L,42L,406,2011-12-07_25L_JB_5
25L,42L,73,2011-12-07_25L_JB_5
64D,juvenile,41,2011-12-07_64D_JB_6
52P,juvenile,16,2011-12-08_52P_JB_4
52P,juvenile,42,2011-12-08_52P_JB_4
52P,juvenile,90,2011-12-08_52P_JB_4
50S,juvenile,24,2011-12-01_50S_BA_5
50S,juvenile,36,2011-12-01_50S_BA_5
6A8,juvenile,70,2011-12-01_6A8_BA_5
9A4,10S,276,2011-12-01_9A4_BA_4
9A4,35N,322,2011-12-01_9A4_BA_4
24B,28J,71,2011-03-29_24B_BA_6
82A,juvenile,74,2011-03-29_82A_BA_2
2A2,14L,34,2011-03-30_2A2_BA_5
35V,92D,91,2011-03-30_35V_BA_2
61J,juvenile,32,2011-03-30_61J_BA_4
61J,juvenile,58,2011-03-30_61J_BA_4
9A4,35N,45,2011-03-30_9A4_BA_2
9A4,68V,52,2011-03-30_9A4_BA_2
55V,juvenile,36,2011-03-31_55V_BA_6
55V,juvenile,295,2011-03-31_55V_BA_6
04N,17C,197,2011-04-01_04N_BA_3
04N,juvenile,17,2011-04-01_04N_BA_3
24B,28J,87,2011-04-01_24B_BA_1
24B,28J,65,2011-04-01_24B_BA_1
24B,28J,143,2011-04-01_24B_BA_1
2A2,juvenile,72,2011-04-01_2A2_BA_2
2A2,juvenile,38,2011-04-01_2A2_BA_2
8A7,14L,237,2011-04-01_8A7_BA_3
04N,juvenile,190,2011-04-25_04N_BA_4
82A,25L,320,2011-04-25_82A_BA_5
35N,43P,272,2011-04-26_35N_BA_5
62H,juvenile,59,2011-04-26_62H_BA_5
